name,net,color,source,rank_group,is_auto_fill
云计算,165.37,,eastmoney,,false
云计算,165.37,,eastmoney,,false
消费电子,123.07,,eastmoney,,false
消费电子,123.07,,eastmoney,,false
人工智能,119.49,,eastmoney,,false
人工智能,119.49,,eastmoney,,false
CPO概念,95.88,,eastmoney,,false
CPO概念,95.88,,eastmoney,,false
锂矿概念,-71.48,,eastmoney,,false
锂矿概念,-71.48,,eastmoney,,false
电池,-54.08,,eastmoney,,false
电池,-54.08,,eastmoney,,false
有色金属,-45.85,,eastmoney,,false
有色金属,-45.85,,eastmoney,,false
半导体,37.14,,eastmoney,,false
半导体,37.14,,eastmoney,,false
白酒,-26.99,,eastmoney,,false
白酒,-26.99,,eastmoney,,false
创新药,-24.17,,eastmoney,,false
创新药,-24.17,,eastmoney,,false
低空经济,-16.48,,eastmoney,,false
低空经济,-16.48,,eastmoney,,false
商业航天,-14.17,,eastmoney,,false
商业航天,-14.17,,eastmoney,,false
银行,-11.81,,eastmoney,,false
银行,-11.81,,eastmoney,,false
AI应用,-9.44,,eastmoney,,false
AI应用,-9.44,,eastmoney,,false
机器人,-1.63,,eastmoney,,false
机器人,-1.63,,eastmoney,,false
