板块名称,主力资金净流入(亿),时间,趋势
减速器,49.88,2026-05-15,↑ 净流入
人形机器人,36.23,2026-05-15,↑ 净流入
机器人执行器,34.45,2026-05-15,↑ 净流入
华为汽车,26.68,2026-05-15,↑ 净流入
汽车零部件,25.13,2026-05-15,↑ 净流入
汽车热管理,24.70,2026-05-15,↑ 净流入
化工原料,22.59,2026-05-15,↑ 净流入
氟化工,22.39,2026-05-15,↑ 净流入
空气能热泵,21.62,2026-05-15,↑ 净流入
逆变器,21.03,2026-05-15,↑ 净流入
化学制品,20.52,2026-05-15,↑ 净流入
氟化工概念,19.09,2026-05-15,↑ 净流入
机器人,18.45,2026-05-15,↑ 净流入
机械设备,18.17,2026-05-15,↑ 净流入
金属制品,17.24,2026-05-15,↑ 净流入
家用电器,14.95,2026-05-15,↑ 净流入
电机Ⅲ,14.80,2026-05-15,↑ 净流入
电机Ⅱ,14.80,2026-05-15,↑ 净流入
PVDF概念,14.71,2026-05-15,↑ 净流入
家电零部件Ⅲ,14.43,2026-05-15,↑ 净流入
家电零部件Ⅱ,14.43,2026-05-15,↑ 净流入
传媒,14.21,2026-05-15,↑ 净流入
通用设备,13.04,2026-05-15,↑ 净流入
配电设备,12.46,2026-05-15,↑ 净流入
底盘与发动机系统,12.36,2026-05-15,↑ 净流入
汽车,11.70,2026-05-15,↑ 净流入
冷链物流,11.47,2026-05-15,↑ 净流入
汽车一体化压铸,11.46,2026-05-15,↑ 净流入
广告营销,11.12,2026-05-15,↑ 净流入
长电科技,10.98,2026-05-15,↑ 净流入
营销代理,10.97,2026-05-15,↑ 净流入
五洲新春,9.17,2026-05-15,↑ 净流入
PLC概念,8.98,2026-05-15,↑ 净流入
集成电路封测,8.87,2026-05-15,↑ 净流入
自动化设备,8.86,2026-05-15,↑ 净流入
稀土,8.85,2026-05-15,↑ 净流入
工控设备,7.91,2026-05-15,↑ 净流入
车身附件及饰件,7.86,2026-05-15,↑ 净流入
半导体设备,7.81,2026-05-15,↑ 净流入
小红书概念,7.32,2026-05-15,↑ 净流入
快手概念,7.31,2026-05-15,↑ 净流入
核污染防治,7.27,2026-05-15,↑ 净流入
兆易创新,7.23,2026-05-15,↑ 净流入
虚拟数字人,7.13,2026-05-15,↑ 净流入
机器视觉,6.92,2026-05-15,↑ 净流入
AI语料,6.74,2026-05-15,↑ 净流入
拓普集团,6.44,2026-05-15,↑ 净流入
仪器仪表,5.87,2026-05-15,↑ 净流入
彩票概念,5.61,2026-05-15,↑ 净流入
